==== JOB START : Mon 18 Aug 2025 07:38:47 PM KST ====
/data/clue9986/anaconda3/bin/python
Epoch [114/865], Train Loss: 0.0653, Validation Loss: 1.1548, Validation Accuracy: 69.04%
Epoch [115/865], Train Loss: 0.0658, Validation Loss: 1.1547, Validation Accuracy: 69.20%
Epoch [116/865], Train Loss: 0.0652, Validation Loss: 1.1537, Validation Accuracy: 69.12%
Epoch [117/865], Train Loss: 0.0652, Validation Loss: 1.1542, Validation Accuracy: 68.84%
Epoch [118/865], Train Loss: 0.0650, Validation Loss: 1.1555, Validation Accuracy: 69.10%
Epoch [119/865], Train Loss: 0.0644, Validation Loss: 1.1522, Validation Accuracy: 69.40%
Epoch [120/865], Train Loss: 0.0655, Validation Loss: 1.1576, Validation Accuracy: 69.07%
Epoch [121/865], Train Loss: 0.0653, Validation Loss: 1.1581, Validation Accuracy: 68.94%
Epoch [122/865], Train Loss: 0.0643, Validation Loss: 1.1529, Validation Accuracy: 68.94%
Epoch [123/865], Train Loss: 0.0647, Validation Loss: 1.1546, Validation Accuracy: 69.12%
Epoch [124/865], Train Loss: 0.0657, Validation Loss: 1.1566, Validation Accuracy: 69.25%
Epoch [125/865], Train Loss: 0.0636, Validation Loss: 1.1522, Validation Accuracy: 69.10%
Epoch [126/865], Train Loss: 0.0629, Validation Loss: 1.1544, Validation Accuracy: 69.04%
Epoch [127/865], Train Loss: 0.0648, Validation Loss: 1.1539, Validation Accuracy: 69.22%
Epoch [128/865], Train Loss: 0.0644, Validation Loss: 1.1538, Validation Accuracy: 69.22%
Epoch [129/865], Train Loss: 0.0637, Validation Loss: 1.1553, Validation Accuracy: 69.15%
Epoch [130/865], Train Loss: 0.0650, Validation Loss: 1.1538, Validation Accuracy: 69.30%
Epoch [131/865], Train Loss: 0.0662, Validation Loss: 1.1565, Validation Accuracy: 69.12%
Epoch [132/865], Train Loss: 0.0647, Validation Loss: 1.1511, Validation Accuracy: 69.04%
Epoch [133/865], Train Loss: 0.0649, Validation Loss: 1.1493, Validation Accuracy: 69.17%
Epoch [134/865], Train Loss: 0.0652, Validation Loss: 1.1539, Validation Accuracy: 68.97%
Epoch [135/865], Train Loss: 0.0654, Validation Loss: 1.1554, Validation Accuracy: 69.02%
Epoch [136/865], Train Loss: 0.0653, Validation Loss: 1.1519, Validation Accuracy: 69.15%
Epoch [137/865], Train Loss: 0.0653, Validation Loss: 1.1523, Validation Accuracy: 68.94%
Epoch [138/865], Train Loss: 0.0645, Validation Loss: 1.1520, Validation Accuracy: 69.17%
Epoch [139/865], Train Loss: 0.0658, Validation Loss: 1.1537, Validation Accuracy: 69.10%
Epoch [140/865], Train Loss: 0.0642, Validation Loss: 1.1518, Validation Accuracy: 68.92%
Epoch [141/865], Train Loss: 0.0651, Validation Loss: 1.1532, Validation Accuracy: 69.12%
Epoch [142/865], Train Loss: 0.0649, Validation Loss: 1.1543, Validation Accuracy: 68.94%
Epoch [143/865], Train Loss: 0.0654, Validation Loss: 1.1520, Validation Accuracy: 68.97%
Epoch [144/865], Train Loss: 0.0647, Validation Loss: 1.1567, Validation Accuracy: 68.92%
Epoch [145/865], Train Loss: 0.0659, Validation Loss: 1.1478, Validation Accuracy: 69.17%
Epoch [146/865], Train Loss: 0.0653, Validation Loss: 1.1521, Validation Accuracy: 69.10%
Epoch [147/865], Train Loss: 0.0668, Validation Loss: 1.1556, Validation Accuracy: 68.99%
Epoch [148/865], Train Loss: 0.0660, Validation Loss: 1.1531, Validation Accuracy: 69.07%
Epoch [149/865], Train Loss: 0.0655, Validation Loss: 1.1556, Validation Accuracy: 69.15%
Epoch [150/865], Train Loss: 0.0640, Validation Loss: 1.1496, Validation Accuracy: 68.89%
Epoch [151/865], Train Loss: 0.0647, Validation Loss: 1.1571, Validation Accuracy: 68.89%
Epoch [152/865], Train Loss: 0.0641, Validation Loss: 1.1513, Validation Accuracy: 68.79%
Epoch [153/865], Train Loss: 0.0647, Validation Loss: 1.1564, Validation Accuracy: 68.92%
Epoch [154/865], Train Loss: 0.0634, Validation Loss: 1.1515, Validation Accuracy: 69.07%
Epoch [155/865], Train Loss: 0.0650, Validation Loss: 1.1575, Validation Accuracy: 68.97%
Epoch [156/865], Train Loss: 0.0646, Validation Loss: 1.1613, Validation Accuracy: 69.12%
Epoch [157/865], Train Loss: 0.0635, Validation Loss: 1.1550, Validation Accuracy: 68.99%
Epoch [158/865], Train Loss: 0.0666, Validation Loss: 1.1561, Validation Accuracy: 68.87%
Epoch [159/865], Train Loss: 0.0642, Validation Loss: 1.1538, Validation Accuracy: 69.35%
Epoch [160/865], Train Loss: 0.0648, Validation Loss: 1.1547, Validation Accuracy: 69.17%
Epoch [161/865], Train Loss: 0.0638, Validation Loss: 1.1550, Validation Accuracy: 69.10%
